Team Number,Mu,Sigma
5147,25.6637,4.1998
3284,30.8113,2.56396
4143,31.4108,3.1099
2978,22.7708,4.75896
6034,18.7752,4.98784
6660,20.718,4.92623
1329,23.1784,3.54673
4600,24.3043,4.75432
5326,24.0832,4.74669
3959,29.2074,3.47854
3792,24.9989,4.89645
4314,21.2206,4.72123
4404,26.7123,5.07288
5758,26.2905,4.70449
4256,25.0979,3.40289
5583,20.8431,4.59685
2707,24.0374,4.68801
5176,26.7548,4.88288
4931,26.6431,4.68811
1675,27.2011,3.0519
5836,24.1752,4.83404
6391,21.9317,4.79233
2838,27.8752,4.92775
931,23.013,4.73803
4232,23.1874,4.91861
2408,21.5111,4.88291
3397,20.5146,4.75403
538,24.7217,3.69564
6744,25.8454,4.89044
4169,25.9644,2.30758
4151,27.2957,2.28388
4176,28.5663,2.0936
5563,23.8448,2.25631
2168,30.9318,1.92595
88,27.0497,2.11409
4908,27.2247,2.12847
157,24.8961,2.53077
2648,27.2536,1.90859
5112,25.1779,2.72408
348,27.9787,2.12029
78,28.2903,1.83298
1831,26.7786,2.73257
6201,29.5597,2.32938
4954,25.7513,2.35547
3205,24.2082,3.00329
1757,25.8831,2.23747
5752,25.1124,3.03357
3566,19.6318,2.99279
121,26.3522,2.87137
4761,28.6489,2.2372
1922,26.7236,2.30733
5000,25.3711,2.81246
1761,21.9475,2.94753
5846,27.5754,2.19695
5844,23.3718,3.22582
172,24.4788,3.0047
5491,25.0192,3.11312
6224,26.4789,3.15391
3461,27.7447,3.34457
6529,23.438,2.9246
3609,25.5717,3.03735
2079,18.9388,2.87759
5265,23.6871,3.03172
5471,22.4582,3.16912
97,24.6496,2.94879
6153,23.103,2.95842
3182,24.4049,3.39387
5347,22.0917,3.42991
6301,20.0071,3.24804
151,20.0889,3.04385
6333,21.7218,3.50811
244,25.5067,1.99974
5015,29.4041,4.12866
4191,30.3002,4.3986
1482,27.7964,4.48219
2122,29.1443,2.53864
4334,28.9723,3.36551
3354,22.6011,3.45035
3933,26.0522,3.58324
4010,22.2302,3.61071
6406,23.9224,4.63357
5897,23.9059,3.40519
5078,24.3788,4.57776
4604,22.8851,4.80658
4774,25.1059,2.67296
288,21.9632,2.14891
